question_id,question_text,question_type,introduction_text,request_for_answer_text,answer_options_text,instruction_text,quality_mean,language,study,domain,subdomain,concept,concept_subtype,response_scale_basic_choice,number_of_categories,position,question_name,is_gdpr_article_9
4c3c382d65e2,"We´d like to ask you about housework. By housework we mean things done around the home, such as cooking, washing, cleaning, care of clothes, shopping,maintenance of property, but not including childcare, looking after other people and leisure activities.  On a typical weekday about how many hours in total do people in your household spend on housework for your home?.  Write in hours:",integer,"We´d like to ask you about housework. By housework we mean things done around the home, such as cooking, washing, cleaning, care of clothes, shopping,maintenance of property, but not including childcare, looking after other people and leisure activities.",on a typical weekday about how many hours in total do people in your household spend on housework for your home? write in hours:,.,"We´d like to ask you about housework. By housework we mean things done around the home, such as cooking, washing, cleaning, care of clothes, shopping,maintenance of property, but not including childcare, looking after other people and leisure activities.",-1.0,English,ESS Round 2,Family,Household matters,"Facts, background, or behaviour",.,Numerical open-ended answers,.,400,testa15,NA
ec96c56a7738,Now some questions about people from other countries coming to live in Ireland.  Please read each question and tick the box on each line that shows how much you agree or disagree with each of the following statements.  Ireland should allow more people of the same race or ethnic group as most Irish people to come and live here,select_one,Now some questions about people from other countries coming to live in Ireland.,please read each question and tick the box on each line that shows how much you agree or disagree with each of the following statements ireland should allow more people of the same race or ethnic group as most irish people to come and live here,"0 Disagree strongly
1
2
3
4
5
6
7 Agree strongly",Now some questions about people from other countries coming to live in Ireland.,0.513,English,ESS Round 3,National politics,.,All other simple concepts,Policy,More than two-category scales,8,322,testb25,NA
8a3785d90394,Elderly people are a large benefit for our society due to their experience.,select_one,"",elderly people are a large benefit for our society due to their experience,"Strongly agree
Agree
Slightly agree
Neither agree nor disagree
Slightly disagree
Disagree
Strongly disagree","",0.514,English,Pretest SDM 2019,Other domains,.,Complex concepts,Other,More than two-category scales,7,23,age23a,NA
38665d2fe499,Should the government take measures to reduce differences in income levels ? Please tick one box.,select_one,"",should the government take measures to reduce differences in income levels ?,"Definitely 
Probably 
Not sure either way 
Probably not 
Definitely not","",0.624,English,ESS Round 1,National politics,.,All other simple concepts,Policy,More than two-category scales,5,285,TEST35,NA
f34be13e0633,‘I like planning and preparing for the future,select_one,"",'i like planning and preparing for the future,"0 Disagree strongly
1
2
3
4
5
6
7
8
9
10 Agree strongly","",0.602,English,ESS Round 3,Living conditions and background variables,Other,Feeling,.,More than two-category scales,11,330,testb33,NA
552a99d534aa,I feel close to the people in my local area,select_one,"",i feel close to the people in my local area,"0 Disagree strongly
1
2
3
4
5
6
7 Agree strongly","",0.555,English,ESS Round 3,Personal relations,Neighbours,Evaluative belief,.,More than two-category scales,8,333,testb36,NA
75bac3f2719e,Older people are often too much of a burden on families.,select_one,"",older people are often too much of a burden on families,"Strongly agree
Agree
Slightly agree
Slightly disagree
Disagree
Strongly disagree","",0.509,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,6,21,age02,NA
a1db01de7a08,"Nun ein paar Fragen dazu, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.  Wie oft in der letzten Woche haben Sie sich einsam gefühlt?",select_one,"Nun ein paar Fragen dazu, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.",wie oft in der letzten woche haben sie sich einsam gefühlt?,"0 nie oder fast nie
1
2
3 immer oder fast immer","Nun ein paar Fragen dazu, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.",0.557,German,ESS Round 6,Health,Personal mental health condition,Feeling,.,More than two-category scales,4,6,teste6,NA
a9d3a8a66e5e,How able do you think you are to take an active role in a group involved with political issues? Please tick one box.,select_one,"",how able do you think you are to take an active role in a group involved with political issues?,"Not at all able
A little able
Quite able
Very able
Completely able","",0.5455,English,ESS Round 7,Personal relations,Membership of organisations,All other simple concepts,Action tendency,More than two-category scales,5,220,testf16,NA
91d76150176f,Now thinking about the Irish government how satisfied are you with the way it is doing its job?,select_one,"",how satisfied are you with the way it is doing its job?,"0 extremely dissatiesfied
01
02
03
04
05 neither satisfied nor dissatiesfied
06
07
08
09
10 extremely satisfied","",0.633,English,ESS Round 2,National politics,.,Feeling,.,More than two-category scales,11,410,testa12,NA
b4814ac2330b,Older people often stand in the way of  progress in society.,select_one,"",older people often stand in the way of progress in society,"Completely agree
Agree
Disagree
Completely disagree","",0.538,English,Pretest SDM 2019,Other domains,.,Complex concepts,Other,More than two-category scales,4,25,age36,NA
daf274c326d4,I think I could take an active role in a group involved with political issues.  Please tick one box.,select_one,"",i think i could take an active role in a group involved with political issues,"Agree strongly
Agree
Neither agree or disagree
Disagree
Disagree strongly","",0.604,English,ESS Round 1,National politics,.,All other simple concepts,Action tendency,More than two-category scales,5,285,TEST23,NA
5b6bd67c2e6a,"Nun ein paar Fragen dazu, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.  Wie sehr haben Sie sich in der letzten Woche deprimiert oder niedergeschlagen gefühlt?",select_one,"Nun ein paar Fragen dazu, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.",wie sehr haben sie sich in der letzten woche deprimiert oder niedergeschlagen gefühlt?,"0 überhaupt nicht deprimiert oder niedergeschlagen 
1
2
3 äußerst deprimiert oder niedergeschlagen","Nun ein paar Fragen dazu, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.",0.544,German,ESS Round 6,Health,Personal mental health condition,Feeling,.,More than two-category scales,4,13,teste13,NA
177663fb5f9d,Older people are frequently a burden on their families.,select_one,"",older people are frequently a burden on their families,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.472,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,5,21,age12,NA
3ad36e221be2,Please indicate to what extent you agree or disagree with each of the following statements.     Sometimes politics seems so complicated that I can’t really understand what is going on. Please tick one box.,select_one,"",please indicate to what extent you agree or disagree with each of the following statements sometimes politics seems so complicated that i can't really understand what is going on,"Agree strongly
  Agree
  Neither agree nor disagree
  Disagree
  Disagree strongly","",0.531,English,ESS Round 1,National politics,.,Evaluative belief,.,More than two-category scales,5,284,TEST22,NA
eb2f5678fd86,How likely are you to attend a political protest that aligns with your political beliefs or ideology?,select_one,"",how likely are you to attend a political protest that aligns with your political beliefs or ideology?,"Very Likely
Likely
Somewhat Likely
Somewhat Unlikely
Unlikely
Very Unlikely","",0.16125,English,Random,National politics,.,"Facts, background, or behaviour",.,More than two-category scales,6,1,.,NA
b205cc85eb62,Elderly people don’t really need to get the best seats on buses and trains.,select_one,"",elderly people don't really need to get the best seats on buses and trains,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.523,English,Pretest SDM 2019,Other domains,.,Complex concepts,Other,More than two-category scales,5,26,age55,NA
c9cb3e5ac5e5,"Ich bin zufrieden mit der Art und Weise, wie die österreichische Bundesregierung ihre Arbeit verrichtet.",select_one,"",ich bin zufrieden mit der art und weise wie die österreichische bundesregierung ihre arbeit verrichtet,"1. stimme stark zu
2. stimme zu
3. weder noch
4. stimme nicht zu
5. stimme überhaupt nicht zu","",0.546,German,ESS Round 4,National politics,.,Feeling,.,More than two-category scales,5,293,testc20,NA
fa4076a8db98,Having children restricts the employment opportunities of one or both parents.,select_one,"",having children restricts the employment opportunities of one or both parents,"Completely agree
Agree
Disagree
Completely disagree","",0.504,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,4,17,attchi44,NA
0fcd6e77f430,Having children restricts the career chances of one or both parents.,select_one,"",having children restricts the career chances of one or both parents,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.48500000000000004,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,5,18,attchi24,NA
15888c6a64a9,Now some questions about how likely it is that you would be caught and punished if you did certain things in [country].  How likely is it that you would be caught and punished in [country] if you committed a traffic offence like speeding or crossing a red light?  How likely is it that you would be caught and punished if you committed a traffic offence like speeding or crossing a red light? Please tick one box.,select_one,Now some questions about how likely it is that you would be caught and punished if you did certain things in [country].,how likely is it that you would be caught and punished if you committed a traffic offence like speeding or crossing a red light?,"1 Not at all likely 
2 Not very likely 
3 Likely 
4 Very likely",Now some questions about how likely it is that you would be caught and punished if you did certain things in [country]. How likely is it that you would be caught and punished in [country] if you committed a traffic offence like speeding or crossing a red light?,0.517,English,ESS Round 5,National politics,.,All other simple concepts,Judgement,More than two-category scales,4,310,testd12,NA
bb2fa6ebc60a,"At a certain point, older people’s maximum benefit to society is passing along their knowledge and experiences.",select_one,"",at a certain point older people's maximum benefit to society is passing along their knowledge and experiences,"Completely agree
Agree
Disagree
Completely disagree","",0.49700000000000005,English,Pretest SDM 2019,Other domains,.,Complex concepts,Other,More than two-category scales,4,23,age33,NA
443961ac02b9,Younger people are usually more productive than older people at their jobs.,select_one,"",younger people are usually more productive than older people at their jobs,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.532,English,Pretest SDM 2019,Work,Other,Complex concepts,Other,More than two-category scales,5,28,age19,NA
261a6346ca5a,"If older people were (more) supportive of change, we would make better progress as a society.",select_one,"",if older people were (more) supportive of change we would make better progress as a society,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.514,English,Pretest SDM 2019,Other domains,.,Complex concepts,Other,More than two-category scales,5,25,age16,NA
dd9bbd4d92c4,Having children interferes with the freedom of parents.,select_one,"",having children interferes with the freedom of parents,"Completely agree
Agree
Disagree
Completely disagree","",0.496,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,4,15,attchi42,NA
b27b3a30c275,Employment and career chances of parents are restricted through having children.,select_one,"",employment and career chances of parents are restricted through having children,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.459,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,5,17,attchi14,NA
6afc212368d3,And about how many of these hours do you spend yourself?  Write in hours,integer,"",and about how many of these hours do you spend yourself? write in hours,.,"",-1.0,English,ESS Round 2,Family,Household matters,"Facts, background, or behaviour",.,Numerical open-ended answers,.,401,testa03,NA
cdb1065e4afd,If you had to choose between the following options which would you prefer?  Please indicate on a scale of 0 to 10 how much you personally trust each of the following institutions.0 means that you do not trust an institution at all and 10 means you have complete trust.  Please indicate on a scale from 0 to 10 how much you personally trust each of the following institutions. 0 means that you do not trust at all and 10 means you have complete trust.  the dáil,select_one,If you had to choose between the following options which would you prefer?,please indicate on a scale from 0 to 10 how much you personally trust each of the following institutions 0 means that you do not trust at all and 10 means you have complete trust the dáil,"0 no trust at all
01
02
03
04
05
06
07
08
09
10 complete trust",If you had to choose between the following options which would you prefer? Please indicate on a scale of 0 to 10 how much you personally trust each of the following institutions.0 means that you do not trust an institution at all and 10 means you have complete trust.,0.673,English,ESS Round 2,National politics,.,Feeling,.,More than two-category scales,11,410,testa25,NA
d8622d73cf1d,Most elderly people don’t know when to make way for younger people.,select_one,"",most elderly people don't know when to make way for younger people,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.526,English,Pretest SDM 2019,Other domains,.,Complex concepts,Other,More than two-category scales,5,29,age58,NA
029b9227190b,"When parents have become old, their adult children are an important support for them.",select_one,"",when parents have become old their adult children are an important support for them,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.47,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,5,19,attchi16,NA
e7bab7084ec1,"Bitte lesen Sie die folgenden Aussagen und kreuzen Sie bei jeder an, wie sehr Sie  ihr zustimmen oder nicht zustimmen.  Der Staat sollte Maßnahmen ergreifen, um Einkommensunterschiede zu reduzieren.",select_one,"",bitte lesen sie die folgenden aussagen und kreuzen sie bei jeder an wie sehr sie ihr zustimmen oder nicht zustimmen der staat sollte maßnahmen ergreifen um einkommensunterschiede zu reduzieren,"1. stimme stark zu
2. stimme zu
3. weder noch
4. stimme nicht zu
5. stimme überhaupt nicht zu","",0.556,German,ESS Round 4,National politics,.,All other simple concepts,Policy,More than two-category scales,5,292,testc31,NA
742907f2512c,The first set of questions is about the roles of men and women today.  To what extent do you agree or disagree with each of the following statements?  Please select one answer for each statement.   A working mother can establish just as warm and secure a relationship with her children as a mother who does not work.,select_one,The first set of questions is about the roles of men and women today.,to what extent do you agree or disagree with each of the following statements? please select one answer for each statement a working mother can establish just as warm and secure a relationship with her children as a mother who does not work,"Completely agree
Agree
Disagree
Completely disagree",The first set of questions is about the roles of men and women today.,0.421,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,4,6,genrol31,NA
f5543e517c69,"In der Politik wird manchmal von „links” und „rechts” gesprochen.  Wo würden Sie sich selbst auf dieser Skala einordnen, wenn 0 für „links“ und 10 für „rechts“ steht.",select_one,In der Politik wird manchmal von „links” und „rechts” gesprochen.,"wo würden sie sich selbst auf dieser skala einordnen wenn 0 für ""links"" und 10 für ""rechts"" steht","0 links
1
2
3
4
5
6
7
8
9
10 rechts",In der Politik wird manchmal von „links” und „rechts” gesprochen.,0.588,German,ESS Round 4,National politics,.,All other simple concepts,Judgement,More than two-category scales,11,295,testc34,NA
f2ae333df88c,"Nun würden wir Ihnen gerne ein paar Fragen zu Staat und Politik stellen.  Glauben Sie, dass die meisten Menschen versuchen, Sie auszunutzen, wenn sie die  Möglichkeit dazu hätten, oder würden sie sich Ihnen gegenüber fair verhalten?  Glauben Sie, dass die meisten Menschen Ihr Vertrauen verdienen oder dass nur die  wenigsten Menschen Ihr Vertrauen verdienen?",select_one,Nun würden wir Ihnen gerne ein paar Fragen zu Staat und Politik stellen.,glauben sie dass die meisten menschen ihr vertrauen verdienen oder dass nur die wenigsten menschen ihr vertrauen verdienen?,"1. nur wenige Menschen verdienen mein Vertrauen.
2. die meisten Menschen verdienen mein Vertrauen.","Nun würden wir Ihnen gerne ein paar Fragen zu Staat und Politik stellen. Glauben Sie, dass die meisten Menschen versuchen, Sie auszunutzen, wenn sie die
Möglichkeit dazu hätten, oder würden sie sich Ihnen gegenüber fair verhalten?",0.512,German,ESS Round 4,Personal relations,Norms of other people,Evaluative belief,.,Two-category scales,.,291,testc6,NA
6876baa70fbd,I generally feel that what I do in my life is valuable  and worthwhile.,select_one,"",i generally feel that what i do in my life is valuable and worthwhile,"1 Agree strongly
2 Agree 
3 Neither agree nor disagree
4 Disagree 
5 Disagree strongly","",0.543,English,ESS Round 3,Living conditions and background variables,Other,Feeling,.,More than two-category scales,5,331,testb10,NA
82ae96754d75,The government should take measures to reduce differences in income levels. Please tick one box.,select_one,"",the government should take measures to reduce differences in income levels,"Agree strongly
Agree
Neither agree or disagree
Disagree
Disagree strongly","",0.62,English,ESS Round 1,National politics,.,All other simple concepts,Policy,More than two-category scales,5,279,TEST17,NA
a49fb0ea29c6,Now thinking about the Irish government how satisfied are you with the way it is doing its job?  Please tick the box that is closest to your opinion.,select_one,"",how satisfied are you with the way it is doing its job?,"0 very dissatisfied
01
02
03
04
05
06
07
08
09
10 very satisfied","",0.651,English,ESS Round 2,National politics,.,Feeling,.,More than two-category scales,11,407,testa36,NA
2b5869f9b69b,Younger people are usually more productive than elderly people at their jobs.,select_one,"",younger people are usually more productive than elderly people at their jobs,"Strongly agree
Agree
Slightly agree
Neither agree nor disagree
Slightly disagree
Disagree
Strongly disagree","",0.528,English,Pretest SDM 2019,Work,Other,Complex concepts,Other,More than two-category scales,7,30,age29,NA
e317012e0fac,"Bei den letzten Fragen geht es darum, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.  Wie sehr haben Sie sich in der letzten Woche deprimiert oder niedergeschlagen gefühlt?  In welchem Maß haben Sie sich in der letzten Woche einsam gefühlt?",select_one,"Bei den letzten Fragen geht es darum, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.",in welchem maß haben sie sich in der letzten woche einsam gefühlt?,"0 überhaupt nicht einsam
1
2
3
4
5
6
7
8
9 äußerst einsam","Bei den letzten Fragen geht es darum, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten. Wie sehr haben Sie sich in der letzten Woche deprimiert oder niedergeschlagen gefühlt?",0.569,German,ESS Round 6,Health,Personal mental health condition,Feeling,.,More than two-category scales,10,27,teste27,NA
dd51f07e6c07,Please indicate to what extent you agree or disagree with each of the following statements.  I generally feel that what I do in my life is valuable and worthwhile,select_one,"",please indicate to what extent you agree or disagree with each of the following statements i generally feel that what i do in my life is valuable and worthwhile,"1 Agree strongly
2 Agree 
3 Neither agree nor disagree
4 Disagree 
5 Disagree strongly","",0.513,English,ESS Round 3,Living conditions and background variables,Other,Feeling,.,More than two-category scales,5,343,testb22,NA
603f5c0d7bfe,"Die Fragen beziehen sich auf Menschen, die aus anderen Ländern nach Österreich kommen, um hier zu leben.  Würden Sie sagen, dass es generell schlecht oder gut für die österreichische Wirtschaft ist, dass Zuwanderer nach Österreich kommen, um hier zu leben?",select_one,"Die Fragen beziehen sich auf Menschen, die aus anderen Ländern nach Österreich kommen, um hier zu leben.",würden sie sagen dass es generell schlecht oder gut für die österreichische wirtschaft ist dass zuwanderer nach österreich kommen um hier zu leben?,"0 schlecht für die Wirtschaft
1
2
3
4
5
6 gut für die Wirtschaft","Die Fragen beziehen sich auf Menschen, die aus anderen Ländern nach Österreich kommen, um hier zu leben.",0.599,German,ESS Round 6,National politics,.,Evaluative belief,.,More than two-category scales,7,18,teste19,NA
c4f181218066,Fathers are just as capable of looking after their children as mothers.,select_one,"",fathers are just as capable of looking after their children as mothers,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.47,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,5,12,genrol27,NA
827b12aae4d2,"In your opinion, do you think that some types of cigarettes are less harmful to a person's health than other types?",select_one,"",in your opinion do you think that some types of cigarettes are less harmful to a person's health than other types?,"Yes
No
I don’t know","",0.4575,English,AC_HAP,Health,Use of drugs,Evaluative belief,.,More than two-category scales,3,3,.,NA
e4ca548ecc6d,In der Politik wird manchmal von „links” und „rechts” gesprochen.  Wo würden Sie sich selbst auf dieser Skala einordnen?,select_one,In der Politik wird manchmal von „links” und „rechts” gesprochen.,wo würden sie sich selbst auf dieser skala einordnen?,"00. extrem links
01. 
02.
03.
04.
05.
06.
07.
08.
09.
10. extrem rechts",In der Politik wird manchmal von „links” und „rechts” gesprochen.,0.55,German,ESS Round 4,National politics,.,All other simple concepts,Judgement,More than two-category scales,11,295,testc22,NA
7cdb97714ea3,How harmful do you think cigarettes are to health?,select_one,"",how harmful do you think cigarettes are to health?,"Not at all harmful
Slightly harmful
Somewhat harmful
Very harmful
Extremely harmful","",0.52,English,AC_HAP,Health,Use of drugs,Evaluative belief,.,More than two-category scales,5,3,.,NA
8738443d90cf,Fathers are as well suited to look after their children as mothers.,select_one,"",fathers are as well suited to look after their children as mothers,"Completely agree
Agree
Disagree
Completely disagree","",0.504,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,4,12,genrol47,NA
b28329a031ff,Now some questions about how likely it is that you would be caught and punished if you did certain things in [country].  How likely is it that you would be caught and punished in [country] if you made an exaggerated or false insurance claim? Please tick one box.,select_one,Now some questions about how likely it is that you would be caught and punished if you did certain things in [country].,how likely is it that you would be caught and punished in [country] if you made an exaggerated or false insurance claim?,"1 Very unlikely
2
3
4 Very likely",Now some questions about how likely it is that you would be caught and punished if you did certain things in [country].,0.483,English,ESS Round 5,National politics,.,All other simple concepts,Judgement,More than two-category scales,4,305,testd19,NA
ccd2a6bd5349,"At a certain point, older people’s maximum benefit to society is passing along their resources.",select_one,"",at a certain point older people's maximum benefit to society is passing along their resources,"Completely agree
Agree
Disagree
Completely disagree","",0.508,English,Pretest SDM 2019,Other domains,.,Complex concepts,Other,More than two-category scales,4,23,age43,NA
1a5e8e9eb4f6,"On an average weekday, how much time, in total, do you spend reading the newspapers?  On an average weekday, how much time, in total, do you spend watching television ? Please tick one box.",select_one,"",on an average weekday how much time in total do you spend watching television ?,"No time at all
      Very little time
      A little time
      Some time 
      Quite a lot of time 
      A lot of time 
      A great deal of time","On an average weekday, how much time, in total, do you spend reading the newspapers?",-1.0,English,ESS Round 1,Leisure activities,Television,"Facts, background, or behaviour",.,More than two-category scales,7,281,TEST19,NA
1fd81cfb8a92,Would you say that most of the time people try to be helpful or that they are mostly looking out for themselves ? Please tick one box.,select_one,"",would you say that most of the time people try to be helpful or that they are mostly looking out for themselves ?,"People mostly look out for themselves     
People mostly try to be helpful","",0.491,English,ESS Round 1,Personal relations,Norms of other people,Evaluative belief,.,Two-category scales,.,280,TEST30,NA
02a364fe8092,Now some questions about people from other countries coming to live in Ireland.  And how much do you agree or disagree that Ireland ´s cultural life is generally undermined by people coming to live here from other countries?  How much do you agree or disagree that Ireland is made a worse place to live by people coming here from other countries?,select_one,Now some questions about people from other countries coming to live in Ireland.,how much do you agree or disagree that ireland is made a worse place to live by people coming here from other countries?,"0 Disagree strongly
1
2
3
4
5
6
7
8
9
10 Agree strongly",Now some questions about people from other countries coming to live in Ireland. And how much do you agree or disagree that Ireland ´s cultural life is generally undermined by people coming to live here from other countries?,0.483,English,ESS Round 3,Living conditions and background variables,Place of residence,All other simple concepts,Evaluation,More than two-category scales,11,339,testb18,NA
599d97b30a62,"We´d like to ask you about housework. By housework we mean things done around the home , such as cooking, washing, cleaning, care of clothes, shopping, maintenance of property, but not including childcare, looking after people and leisure activities.  On a typical weekday about how many hours in total do people in your household spend on housework for your home? Write in hours:",integer,"We´d like to ask you about housework. By housework we mean things done around the home , such as cooking, washing, cleaning, care of clothes, shopping, maintenance of property, but not including childcare, looking after people and leisure activities.",on a typical weekday about how many hours in total do people in your household spend on housework for your home? write in hours:,.,"We´d like to ask you about housework. By housework we mean things done around the home , such as cooking, washing, cleaning, care of clothes, shopping, maintenance of property, but not including childcare, looking after people and leisure activities.",-1.0,English,ESS Round 2,Family,Household matters,"Facts, background, or behaviour",.,Numerical open-ended answers,.,400,testa02,NA
f45132e5b1bb,The questions are about the police in [country].  Based on what you have heard or your own experience how successful do you think the police are at preventing crimes in [country] where violence is used or threatened? Please tick one box.,select_one,The questions are about the police in [country].,based on what you have heard or your own experience how successful do you think the police are at preventing crimes in [country] where violence is used or threatened?,"0 Extremely unsuccessful 
1 Very unsuccessful
2 Rather unsuccessful 
3 Neither unsuccessful nor successful 
4 Rather successful 
5 Very successful 
6 Extremely successful",The questions are about the police in [country].,0.464,English,ESS Round 5,National politics,.,All other simple concepts,Evaluation,More than two-category scales,7,302,testd04,NA
